iter	 test_squ_loss	 test_avg_prec	 train_squ_loss	 train_avg_prec	 regularization	 time (in s)
1 	 14.8483503 	 0.05214476 	 293.01929548 	 6.404e-05 	 120.082 	 56.77448034
1001 	 10.55353011 	 0.48177438 	 0.79167471 	 0.51571332 	 156.272 	 374.29868388
2001 	 10.15868005 	 0.51451037 	 0.25145712 	 0.55771168 	 177.298 	 366.66045713
3001 	 9.72502432 	 0.53347562 	 0.23666356 	 0.57402112 	 187.734 	 370.59783053
4001 	 9.28989438 	 0.54200476 	 1.64312439 	 0.56492151 	 195.265 	 379.88059568
5001 	 8.87510997 	 0.55970453 	 1.37918593 	 0.57675841 	 202.804 	 366.5120213
6001 	 8.51579045 	 0.57234657 	 1.04332964 	 0.58316633 	 212.341 	 370.95051265
7001 	 8.31280284 	 0.5718036 	 1.13941982 	 0.59475265 	 222.038 	 374.13165307
8001 	 8.12236274 	 0.57702188 	 1.00269647 	 0.60345158 	 233.233 	 363.77077055
9001 	 7.9988733 	 0.5826063 	 0.65682999 	 0.6069914 	 244.008 	 364.04469872
10001 	 7.8652574 	 0.5868677 	 0.4831965 	 0.60140004 	 256.134 	 365.12619734
11001 	 7.80746372 	 0.58880258 	 0.32539471 	 0.61901315 	 267.176 	 360.91429734
12001 	 7.70545116 	 0.5945633 	 0.27632748 	 0.60928128 	 280.148 	 368.23973083
13001 	 7.6654553 	 0.59593792 	 0.23995703 	 0.61991669 	 292.48 	 366.01400518
14001 	 7.59932938 	 0.60341449 	 0.18403562 	 0.61235567 	 306.062 	 365.10353565
15001 	 7.60682715 	 0.60192619 	 0.17059073 	 0.62634181 	 318.596 	 367.66757369
16001 	 7.56622479 	 0.60095024 	 0.22709167 	 0.62148863 	 331.362 	 367.88942361
17001 	 7.56298633 	 0.60288302 	 0.17459484 	 0.64194766 	 344.075 	 372.14199662
18001 	 7.52318726 	 0.60620879 	 0.14045641 	 0.63664655 	 357.283 	 360.37861466
19001 	 7.51837057 	 0.60565821 	 0.201661 	 0.62564678 	 372.007 	 358.79700899
