iter	 test_squ_loss	 test_avg_prec	 train_squ_loss	 train_avg_prec	 regularization	 time (in s)
1 	 14.38968463 	 0.02072284 	 70.80240081 	 5.893e-05 	 85.4851 	 22.55240965
1001 	 11.06312075 	 0.41897491 	 0.75850112 	 0.43825585 	 82.5699 	 135.02152872
2001 	 10.56817024 	 0.4555927 	 0.21826766 	 0.44761115 	 87.435 	 136.72871494
3001 	 10.07678234 	 0.48514577 	 0.14148187 	 0.46518066 	 92.4878 	 140.37260008
4001 	 9.67121031 	 0.49896395 	 0.12202912 	 0.46794561 	 95.8945 	 140.13739562
5001 	 9.36125734 	 0.51051196 	 0.10897842 	 0.49577347 	 97.794 	 143.24140382
6001 	 9.09326695 	 0.51820467 	 0.100896 	 0.50315028 	 98.4048 	 143.90272808
7001 	 8.8715278 	 0.52626028 	 0.12307649 	 0.50561065 	 98.0656 	 141.39676785
8001 	 8.68676071 	 0.53214937 	 0.12067716 	 0.51335554 	 96.3582 	 143.10367823
9001 	 8.60153666 	 0.52972519 	 0.31890571 	 0.51497062 	 94.678 	 140.25143218
10001 	 8.46899311 	 0.5349164 	 0.35345458 	 0.51297953 	 93.1185 	 144.1163311
11001 	 8.35788115 	 0.54082496 	 0.38763707 	 0.52526194 	 91.7021 	 138.94707322
12001 	 8.31574645 	 0.54124595 	 0.42254991 	 0.52008082 	 90.5798 	 141.06903005
13001 	 8.23965266 	 0.54443237 	 0.35248621 	 0.5164758 	 89.5913 	 146.16913629
14001 	 8.15103679 	 0.54947943 	 0.18985604 	 0.53530536 	 89.2284 	 140.74038267
15001 	 8.15342437 	 0.5470647 	 0.15818947 	 0.53438828 	 88.8561 	 140.67866039
16001 	 8.08136077 	 0.55168654 	 0.13291103 	 0.53793373 	 88.8725 	 143.35381651
17001 	 8.05817126 	 0.55238932 	 0.10947242 	 0.53709371 	 88.7812 	 143.57651234
18001 	 8.04056243 	 0.55282223 	 0.10073035 	 0.53091964 	 88.9517 	 143.1047442
19001 	 8.01189955 	 0.55474523 	 0.10570961 	 0.52685721 	 89.3194 	 142.84890866
20001 	 7.97311717 	 0.55612449 	 0.10411098 	 0.53663853 	 89.7535 	 140.33177972
21001 	 7.93930212 	 0.56059543 	 0.10262185 	 0.53737851 	 90.1814 	 136.85476398
22001 	 7.93386219 	 0.55979614 	 0.09373703 	 0.54521808 	 90.692 	 141.11964273
23001 	 7.93870825 	 0.56004096 	 0.09440249 	 0.54304389 	 90.9784 	 140.70660138
24001 	 7.91368328 	 0.55929877 	 0.09418909 	 0.54267642 	 91.5514 	 142.69639134
25001 	 7.90074472 	 0.56056416 	 0.09861231 	 0.55949918 	 92.179 	 141.918154
26001 	 7.88171598 	 0.56166339 	 0.0996759 	 0.55118539 	 92.9308 	 140.55379653
27001 	 7.85156321 	 0.56483253 	 0.09344355 	 0.54053203 	 93.8544 	 146.64659524
28001 	 7.86284822 	 0.56367277 	 0.08961141 	 0.54516671 	 94.5249 	 150.26567578
29001 	 7.88948801 	 0.56326536 	 0.09924389 	 0.53435721 	 95.111 	 145.79008627
30001 	 7.89146066 	 0.56181633 	 0.09603244 	 0.5508442 	 96.0606 	 144.82250667
31001 	 7.84727959 	 0.56505705 	 0.09352992 	 0.54155553 	 96.3486 	 138.75234842
32001 	 7.87082452 	 0.56174728 	 0.09138015 	 0.55154059 	 97.0573 	 140.54635453
33001 	 7.85589877 	 0.5627251 	 0.09318857 	 0.5526941 	 97.7624 	 137.53585863
34001 	 7.83900669 	 0.56571239 	 0.08952015 	 0.550452 	 98.9504 	 139.78594375
35001 	 7.85295054 	 0.56402723 	 0.09058959 	 0.55375773 	 99.6294 	 140.84674931
36001 	 7.8205301 	 0.56532331 	 0.08919129 	 0.549922 	 100.141 	 139.69577503
37001 	 7.85021587 	 0.56494699 	 0.0944663 	 0.55768725 	 101.362 	 137.72988153
38001 	 7.82200365 	 0.56446739 	 0.09113233 	 0.56066151 	 102.034 	 140.11720586
39001 	 7.80328667 	 0.56682161 	 0.08805169 	 0.56412003 	 102.792 	 140.34052277
40001 	 7.82886526 	 0.56583306 	 0.09696958 	 0.56111584 	 103.168 	 138.56415057
41001 	 7.81638694 	 0.5662448 	 0.08815683 	 0.56941168 	 103.848 	 137.67369294
42001 	 7.7847035 	 0.56956108 	 0.08637987 	 0.56068892 	 104.797 	 140.71056342
43001 	 7.79960388 	 0.5668634 	 0.08869247 	 0.56132726 	 105.422 	 136.48277164
44001 	 7.77396714 	 0.5698658 	 0.08571011 	 0.55771975 	 106.278 	 140.86648989
45001 	 7.78578162 	 0.56865145 	 0.0857552 	 0.56408951 	 106.951 	 142.30219769
46001 	 7.77786842 	 0.56967441 	 0.08865604 	 0.55899526 	 108.087 	 139.26391554
47001 	 7.78948958 	 0.5697782 	 0.08873773 	 0.55029973 	 108.745 	 142.87542343
48001 	 7.78280228 	 0.56790119 	 0.0891523 	 0.55303707 	 109.547 	 139.98968792
49001 	 7.79556873 	 0.5701161 	 0.09122593 	 0.55685052 	 110.457 	 141.31895161
50001 	 7.76976035 	 0.5699596 	 0.08559571 	 0.56321962 	 110.916 	 139.10804701
